id,name,bf,lu,di,cal,fat,pro,sug,imagepath
1,Paprika Chicken,0,1,1,240,39,8,0.2,Paprika_Chicken.jpg
2,Sarson ka saag,0,1,1,140,11,2,2,Sarson_Ka_Saag.jpg
3,Almond Halwa,1,1,0,563,49,15.23,13.43,Almond_Halwa.jpg
4,VEGETARIAN CAESAR SALAD,1,1,0,219,16,6,4,Vegetarian_Caesar_Salad.jpg
5,MIXED VEGETABLE CURRY,0,1,1,365,22,11,11,Mixed_Vegetable_Curry.jpg
6,MUSHROOM MATAR MASALA,0,1,1,161,9,7,8,Mushroom_Matar_Masala.jpg
7,PALAK PANEER ,0,1,1,365,28,17,3,Palak_Paneer.jpg
8,DAL FRY,0,1,0,224,9,9,4,Dal_Fry.jpg
9,Butter Chicken,0,1,1,284,18,18,5.4,Butter_Chicken.jpg
10,Veg POT TACO PASTA,0,1,0,490,12,19,11,Veg_Pot_Taco_Pasta.jpg
11,TOMATO PESTO TARTS,1,0,0,240,18,5,1,Tomato_Pesto_Tarts.jpg
12,CHILLI CHEESE TOAST,1,0,0,427,21,21,6,Chilli_Cheese_Toast.jpg
13,NUTELLA CROISSANTS,1,0,0,276,18,4,5,Nutella_Croissants.jpg
14,EGGLESS BANANA CHOCOLATE CAKE,1,0,0,339,16,6,24,Eggless_Banana_Chocolate_Cake.jpg
15,BERRY OAT SMOOTHIE,1,0,0,298,8,10,25,Berry_Oat_Smoothie.jpg
16,Onions,0,1,1,40,0.1,1.1,4.2,onion.jpg
17,Orange,1,0,0,97,0.2,1.5,0,Oranges.jpg
18,Pasta canned with tomato sauce,0,1,1,71,0.7,2.2,4,Pasta.jpg
19,Pears,1,0,0,57,0.1,0.4,9.8,Pears.jpg
20,Peas,0,1,1,81,0.4,5.4,5.7,Peas.jpg
21,Protein Powder,1,0,0,411,17,46,5.7,Protien_powder.jpg
22,Pumpkin,0,1,1,18,0.1,0.7,2.1,Pumpkin.jpg
23,Tuna Salad,0,1,1,187,9.3,16,0,Tuna_Salad.jpg
24,Tuna Fish,0,0,1,184,6.3,30,0,Tuna_fish.jpg
25,Peproni Pizza,0,0,1,298,14,12,3.2,Peproni_Pizza.jpg
26,Cheese Pizza,0,0,1,276,11,11,2.5,Cheese_Pizza.jpg
27,Fajita Chicken Wrap,0,1,1,418,20,45,3.5,Fajita_Chicken_Wrap.jpg
28,Vegan Snack Sandwich,0,1,1,503,30,13,4.7,Vegan_Snack_Sandwich.jpg
29,Fish Burger,0,1,1,411,11,32,4.3,Fish_Burger.jpg
30,Applesauce Oatmeal Muffins,1,0,0,146,5,3,14,Applesauce_Oatmeal_Muffins.jpg
31,Puffy Corn Omelet,1,0,0,261,19,9,3.7,Puffy_Corn_Omelet.jpg
32,Simple Breakfast Burritos,1,0,0,286,13,16,2.6,Simple_Breakfast_Burritos.jpg
33,Mango Protein Shake,1,1,0,355,33,6,41,Mango_Protein_Shake.jpg
34,Veggie and Cheese Omelet,1,0,0,479,33,35,5.6,Veggie_and_Cheese_Omelet.jpg
35,Spinach Scramble,1,0,0,388,25,31,5.3,Spinach_Scramble.jpg
36,Keto Breakfast Sandwich,1,0,0,458,26,38,0.6,Keto_Breakfast_Sandwich.jpg
37,Chocolate Peanut Butter Oatmeal,1,0,0,507,15,21,13.7,Chocolate_Peanut_Butter_Oatmeal.jpg
38,Pear Green Smoothie,1,1,0,110,2,1,18.2,Pear_Green_Smoothie.jpg
39,Tomato,1,1,0,16,0.2,1.2,2.63,Tomatoes.jpg
40,Yogurt,1,1,0,60,4,3.1,7,Yogourt.jpg
41,Brownie,1,0,0,407,6.2,4.4,55,Brownie.jpg
42,Noodles,0,1,1,108,0.2,1.8,0,Noodles.jpg
43,Uttapam,0,1,1,188,7.2,4.4,0.24,Uttapam.jpg
44,Bhaji Pav,0,1,0,151,2.4,9,1.35,Bhaji_Pav.jpg
45,Dal Makhani,0,1,1,109,8.5,2.1,3.29,Dal_Makhani.jpg
46,Almonds,1,1,0,164,14,6,1.2,Almonds.jpg
47,Mushrooms,1,1,0,22,0.3,3.1,2,Marshmallows.jpg
48,Egg Yolk cooked,1,0,0,196,15,14,0.4,Egg_Yolk_cooked.jpg
49,Sweet Potatoes cooked,0,1,1,76,0.1,1.4,5.7,Sweet_Potatoes_cooked.jpg
50,Boiled Potatoes,1,1,1,87,0.1,1.9,0.9,Boiled_Potatoes.jpg
51,White Rice,0,1,1,360,0.6,6.6,0,White_Rice.jpg
52,Orange juice,1,0,0,45,0.2,0.7,8.4,Oranges.jpg
53,Greek yogurt plain,1,0,0,73,1.9,10,3.6,Greek_yogurt_plain.jpg
54,Oat Bran Cooked,1,0,0,40,0.9,3.2,0,Oat_Bran_Cooked.jpg
55,Green Tea,1,0,0,1,0,0.2,0,Green_Tea.jpg
56,Chia seeds,1,0,0,486,31,17,0,Chia_seeds.jpg
57,Cottage cheese with vegetables,0,1,1,95,4.2,11,0.4,Cottage_cheese_with_vegetables.jpg
58,Salmon,0,1,1,127,4.4,21,0,Salmon.jpg
59,Cereals-Corn Flakes,1,0,0,384,0.9,5.9,7.8,Cereals_Corn_Flakes.jpg
60,Beans,0,1,1,31,0.2,1.8,3.3,Beans.jpg
61,Lentils,0,1,1,101,0.5,8.8,0,Lentils.jpg
62,Pasta with corn homemade,0,1,1,126,0.7,2.6,0,Pasta_with_corn_homemade.jpg
63,Tea,1,0,0,1,0,0,0,Tea.jpg
64,Apples,1,0,0,52,0.2,0.3,10,apples.jpg
65,Strawberries,1,0,0,32,0.3,0.7,4.9,Strawberries.jpg
66,Quninoa,1,1,0,120,1.9,4.4,0.9,Quninoa.jpg
67,Goat meat,0,1,1,109,2.3,21,0,Goat_meat.jpg
68,Rabbit meat,0,1,1,114,2.3,22,0,Rabbit_meat.jpg
69,Chicken Strips,0,0,1,295,15,19,0.3,Chicken_Strips.jpg
70,Steak Fries,0,1,1,255,13,3.3,0.9,Steak_Fries.jpg
71,Mexican Rice,0,1,1,195,4.9,3.6,1.4,Mexican_Rice.jpg
72,Fried Shrimp,0,0,1,319,20,14,0.8,Fried_Shrimp.jpg
73,Spaghetti and meatballs,0,0,1,170,8.5,7.8,2,Spaghetti_and_meatballs.jpg
74,Macroni n Cheese ,0,1,1,194,12,6.5,2.8,Macroni_n_Cheese.jpg
75,Pork cooked,0,0,1,297,21,26,0,Pork_cooked.jpg
76,Bacon cooked,0,0,1,146,2.8,28,1.2,Bacon_cooked.jpg
77,Nachos,0,1,1,350,22,4.3,2.2,Nachos.jpg
78,Chicken Popcorn,0,1,1,351,22,18,0,Chicken_Popcorn.jpg
79,Turkey cooked,0,1,1,203,10,27,0,Turkey_cooked.jpg
80,Oyster cooked,0,1,1,159,4,29,0,Oyster_cooked.jpg
81,Beef sticks,1,0,0,550,50,22,0,Beef_sticks.jpg
82,Banana Chips,1,0,0,519,34,2.3,35,Banana_Chips.jpg
83,Honey,1,0,1,304,0,0.3,82,Honey.jpg
84,Chocolate Icecream,0,0,1,216,11,3.8,25,Chocolate_Icecream.jpg
85,Vanilla Ice cream,0,0,1,207,11,3.5,21,Vanilla_Ice-cream.jpg
86,Strawberry Icecream,0,0,1,192,8.4,3.2,0,Strawberry_Icecream.jpg
87,Marshmallows,0,0,1,318,0.2,1.8,58,Mushrooms.jpg
88,Chocolate milk,1,0,0,535,30,7.7,52,Chocolate_milk.jpg
89,Rice Pudding,0,0,1,376,0.1,2.7,0,Rice_Pudding.jpg
90,Blueberry Yogurt,1,0,0,100,1.2,4.1,19,Blueberry_Yogurt.jpg
91,Parmesan Egg White Omelet,1,0,0,228,15,18,2.5,Parmesan_Egg_White_Omelet.jpg
92,Apple Toast,1,0,0,130,4,4,7.1,Apple_Toast.jpg
93,Yogurt with Avocado and Basil,0,1,0,295,16,25,8,Yogurt with_Avocado_Basil.jpg
94,Microwaved sweet potato,0,1,1,112,0,2,5.4,Microwaved_sweet_potato.jpg
95,Banana Egg Pancake,1,0,0,224,10,8,15,Banana_Egg_Pancake.jpg
96,Tuna with Avocado,0,1,0,295,19,18,7.5,Tuna_with_Avocado.jpg
97,Lemon Steamed Broccoli,0,0,1,89,4,5,2.9,Lemon_Steamed_Broccoli.jpg
98,Chicken Wraps,0,1,1,368,12,33,4.5,Chicken_Wraps.jpg
99,Avocado-egg Toast,1,0,0,208,12,10,2,Avocado_Egg_Toast.jpg
100,Plum and Greek Yogurt Snack,1,0,0,185,7,20,10,Plum_and_Greek_Yogurt_Snack.jpg
101,Cream Cheese Turkey Rollups,0,1,0,277,8,14,5.6,Cream_Cheese_Turkey_Rollups.jpg
102,Pop Corn - Caramel,1,0,1,381,1.4,2,65,Popcorn_Caramel.jpg
103,Pop Corn,1,0,1,429,9.5,13,0.5,Popcorn.jpg
104,Dosa,1,1,1,168,3.7,4.5,0.1,Dosa.jpg
105,Idli,0,1,1,156,1.7,5,0.74,Idli.jpg
106,Poha,1,0,0,130,1.5,2.6,0.5,Poha.jpg
107,Chappati,0,1,1,297,7.5,11,2.7,Chappati.jpg
108,Neilas Cauliflower Eggs,1,0,0,399,24,31,6.3,Neilas_Cauliflower_Eggs.jpg
109,Coconut Peach Smoothie,1,0,0,379,29,10,15,Coconut_Peach_Smoothie.jpg
110,Protein Waffles,1,0,0,195,4,15,0.4,Protein_Waffles.jpg
111,Honey Grapefruit with Banana,1,0,0,116,2,0,22.6,Honey_Grapefruit_with_Banana.jpg
112,Simple Ham and Lettuce Sandwich,0,1,0,456,30,18,6.2,Simple_Ham_Lettuce_Sandwich.jpg
113,Corn Flakes,1,0,0,222,10,5,15,Corn_Flakes.jpg
114,Baby Carrot Banana Smoothie,0,1,0,259,2,36,19,Baby_Carrot_Banana_Smoothie.jpg
115,Vegetarian Fajita Pasta,0,0,1,443,15,16,2.4,Vegetarian_Fajita_Pasta.jpg
116,Banana Almond Butter,1,0,0,203,5,9,15.1,Banana_Almond_Butter.jpg
117,Strawberry French Toast,1,0,0,362,13,19,19,Strawberry_French_Toast.jpg
118,Peach and Peanut Butter Snack,1,1,0,247,16,9,15.4,Peach_and_Peanut_Butter_Snack.jpg
119,Bananas,1,0,0,89,0.3,1.1,12,Bagels.jpg
120,Bagels made in wheat,0,1,1,250,1.5,10,6.1,Blueberries.jpg
121,Berries,1,0,0,349,0.4,14,46,Brocolli.jpg
122,Brocolli,0,1,1,25,0.5,3.8,0.6,Brown_Rice.jpg
123,Brown Rice,0,1,1,362,2.7,7.5,0,Cauliflower.jpg
124,Cauliflower,0,1,1,32,0.3,3,0,American_cheese.jpg
125,American cheese,1,0,0,331,24,20,0,Coffee.jpg
126,Coffee,1,0,0,2,0,0.3,0,Corn.jpg
127,Corn,1,1,1,97,1.4,3.3,7.7,Dark_Chocolate.jpg
128,Dark chocolates,0,0,1,556,32,5.5,48,Grapes.jpg
129,Grapes,1,0,0,93,2.1,5.6,6.3,Milk.jpg
130,Milk,1,0,1,97,6.9,3.8,0,bananas.jpg
131,Vegan Aloo Gobi Wraps,0,1,1,408,15,10,6.2,Vegan_Aloo_Gobi_Wraps.jpg
132,Aloo Phujia,0,1,1,152,2,10,2.4,Aloo_Phujia.jpg
133,Aloo Tikki,0,1,1,144,4,3,2.3,Aloo_Tikki.jpg
134,Tasty Chickpea Curry,1,1,1,358,10,10,3.2,Tasty_Chickpea_Curry.jpg
135,Vegetarian Bean Curry,0,1,0,218,9,6,4.8,Vegetarian_Bean_Curry.jpg
136,Indian Basmati Rice with Peas,0,1,1,192,4,2,0.8,Indian_Basmati_Rice_with_Peas.jpg
137,Stuffed Eggplant,0,1,0,277,21,4,13.6,Stuffed_Eggplant.jpg
138,Quick Vegetarian Spaghetti,0,1,1,262,10,2,5.4,Quick_Vegetarian_Spaghetti.jpg
139,Vegetarian lasagna,0,1,1,533,23,24,12.3,Vegetarian_Lasagna.jpg
140,Asparagus Cooked,0,1,1,22,0.2,2.4,1.3,Asparagus_Cooked.jpg
141,Avocados,1,0,0,160,15,2,0.7,avocados.jpg
142,Beef Burritos,0,0,1,446,22,24,2.6,Beef_Burritos.jpg
143,Edamame Slaw,0,0,1,234,13,11,9.3,Edamame_Slaw.jpg
144,Protein Power Oats,1,0,0,305,11,29,4,Protein_Power_Oats.jpg
145,Taco Bowl Salad,0,0,1,445,22,30,3.8,Taco_Bowl_Salad.jpg
146,Tuna-Avocado Sandwich,0,1,0,344,19,10,8.3,Tuna_Avocado_Sandwich.jpg
147,Mexican Cottage Cheese Salad,0,1,0,335,39,3,12.6,Mexican_Cottage_Cheese_Salad.jpg
148,Chickpea Salad,0,1,0,545,25,30,10.1,Chickpea_Salad.jpg
149,Salmon Salad,0,1,0,568,33,38,13,Salmon_Salad.jpg
150,Chestnuts Dried,1,0,0,104.6,1.1,1.4,4,Chestnuts_Dried.jpg
151,Hot and Spicy Tofu,0,0,1,214,10,13,7.7,Hot_and_Spicy_Tofu.jpg
152,Spicy Coconut Chicken Curry,0,0,1,247,28,13,0.8,Spicy_Coconut_Chicken_Curry.jpg
153,Indian Spiced Roasted Chickpeas,0,1,0,150,6,7,0.1,Indian_Spiced_Roasted_Chickpeas.jpg
154,Cashew Nuts,1,0,0,553,44,18,5.9,Cashews.jpg
155,French Fries,0,1,1,289,14,3.5,0.3,French_Fries.jpg
156,Chicken Burger,0,1,1,292,15,18,0,Chicken_Burger.jpg
157,Cheese Burger,0,1,1,256,12,13,0,Cheese_Burger.jpg
158,Chicken Sandwich,0,1,1,257,12,15,5,Chicken_Sandwich.jpg
159,Sugar Doughnuts,0,1,0,426,23,5.2,32,Sugar_Doughnuts.jpg
160,Chocolate Doughnuts,0,1,1,452,25,4.9,27,Chocolate_Doughnuts.jpg
161,Waffles Buttermilk Frozen Ready-To-Heat,1,0,0,273,9.22,6.58,4.3,
162,Waffle Buttermilk Frozen Ready-To-Heat Toasted,1,0,0,309,9.49,7.42,4.41,
163,Waffle Buttermilk Frozen Ready-To-Heat Microwaved,1,0,0,289,9.4,6.92,4.5,
164,Waffle Plain Frozen Ready-To-Heat Microwave,1,0,0,298,9.91,6.71,5.04,
165,Pie Crust Cookie-Type Graham Cracker Ready Crust,1,0,0,501,24.83,5.1,18.13,
166,Pie Crust Cookie-Type Chocolate Ready Crust,1,0,0,484,22.42,6.08,26.31,
167,Dutch Apple Pie,1,0,0,290,11.5,2.17,22.02,
168,Waffles Chocolate Chip Frozen Ready-To-Heat,1,0,0,297,10.1,5.8,13.1,
169,Bread Salvadoran Sweet Cheese (Quesadilla Salvadorena),1,0,0,374,17.12,7.12,24.9,
170,Bread Pound Cake Type Pan De Torta Salvadoran,1,0,0,390,17.45,7.06,18.1,
171,Pastry Pastelitos De Guava (Guava Pastries),1,0,0,379,18.5,5.48,17,
172,Crackers Snack Goya Crackers,1,0,0,433,13.35,14.25,2.35,
173,Crackers Cream Gamesa Sabrosas,1,0,0,484,20.37,7.01,9.37,
174,Crackers Cream La Moderna Rikis Cream Crackers,1,0,0,464,19.5,7.19,10.41,
175,Bread White Wheat,1,0,0,238,2.15,10.66,5,
176,Bagels Wheat,1,0,0,250,1.53,10.2,6.12,
177,Cream Puff Eclair Custard Or Cream Filled Iced,1,0,0,334,18.52,4.41,22.05,
178,Tortillas Ready-To-Bake Or -Fry Flour Shelf Stable,1,0,0,297,7.58,8.01,2.66,
179,Snacks Beef Jerky Chopped And Formed,1,0,0,410,25.6,33.2,9,
180,Snacks Corn-Based Extruded Chips Plain,1,0,0,539,33.36,6.17,0.27,
181,Snacks Fruit Leather Pieces,1,0,0,359,2.68,1,57.58,
182,Snacks Fruit Leather Rolls,1,0,0,371,3,0.1,49.16,
183,Snacks Granola Bars Hard Plain,1,0,0,471,19.8,10.1,28.57,
184,Honey-Combed With Peanut Butter,1,0,0,473,20.18,8.72,62.68,
185,Snacks Granola Bars Soft Coated Milk Chocolate Coating Peanut Butter,1,0,0,508,31.1,10.2,23.74,
186,Snacks Popcorn Oil-Popped Microwave Regular Flavor No Trans Fat,1,0,0,583,43.55,7.29,0.46,
187,Snacks Popcorn Cakes,1,0,0,384,3.1,9.7,0.72,
188,Snacks Popcorn Caramel-Coated With Peanuts,1,0,0,400,7.8,6.4,45.36,
189,Snacks Popcorn Caramel-Coated Without Peanuts,1,0,0,431,12.8,3.8,53.19,
190,Snacks Potato Chips Made From Dried Potatoes Reduced Fat,1,0,0,502,26.14,4.56,0.63,
191,Snacks Pretzels Hard Plain Salted,1,0,0,384,2.93,10.04,2.21,
192,Snacks Pretzels Hard Confectioners Coating Chocolate-Flavor,1,0,0,457,16.7,7.5,38.8,
193,Snacks Tortilla Chips Plain White Corn Salted,1,0,0,472,20.68,7.1,0.78,
194,Snacks Tortilla Chips Nacho Cheese,1,0,0,519,27.42,7.36,2.59,
195,Snacks Tortilla Chips Ranch-Flavor,1,0,0,501,24.63,7.19,3.03,
196,Almond Joy Candy Bar,1,0,0,479,26.93,4.13,48.34,
197,Nestle Bit-O-Honey Candy Chews,1,0,0,388,7.5,2,48,
198,Nestle Butterfinger Bar,1,0,0,459,18.9,5.4,45.9,
199,Caramels Chocolate-Flavor Roll,1,0,0,387,3.31,1.59,56.32,
200,Baking Chocolate Unsweetened Liquid,1,0,0,472,47.7,12.1,0,
201,Unsweetened Baking Chocolate,1,0,0,642,52.31,14.32,0.91,
202,Confectioners Coating Yogurt,1,0,0,522,27,5.87,62.36,
203,Confectioners Coating Peanut Butter,1,0,0,529,29.8,18.3,38.3,
204,White Chocolate,1,0,0,539,32.09,5.87,59,
205,Ice Creams Vanilla Light,1,0,0,180,4.83,4.78,22.12,
206,Ice Creams Vanilla Rich,1,0,0,249,16.2,3.5,20.65,
207,Desserts Flan Caramel Custard Prepared-From-Recipe,1,0,0,145,4.03,4.53,22.78,
208,Ice Creams Vanilla,1,0,0,207,11,3.5,21.22,
209,Ice Creams Vanilla Light Soft-Serve,1,0,0,126,2.6,4.9,18.69,
210,Sherbet Orange,1,0,0,144,2,1.1,24.32,
211,Fudge Peanut Butter Prepared-From-Recipe,1,0,0,387,6.59,3.78,73.36,
212,Fudge Vanilla Prepared-From-Recipe,1,0,0,383,5.45,1.05,79.77,
213,Fudge Vanilla With Nuts,1,0,0,435,13.69,3,71,
214,Nestle Goobers Chocolate Covered Peanuts,1,0,0,512,34,9.7,43,
215,Nestle Baby Ruth Bar,1,0,0,475,21.6,5.4,54,
216,Syrups Table Blends Pancake With Butter,1,0,0,291,0.09,0,72.25,
217,Ice Creams Chocolate Light,1,0,0,187,7.19,5,24.71,
218,Milk Chocolate,1,0,0,535,29.66,7.65,51.5,
219,Andreas Gluten Free Soft Dinner Roll,1,0,0,257,8.2,5.65,2.98,
220,Crunchmaster Multi-Grain Crisps Snack Crackers Gluten-Free,1,0,0,456,15.92,10.91,0.8,
221,Glutino Gluten Free Cookies Chocolate Vanilla Creme,1,0,0,474,17.89,2.19,49,
222,Glutino Gluten Free Cookies Vanilla Creme,1,0,0,487,18.79,2.19,49.43,
223,Pepperidge Farm Goldfish Baked Snack Crackers Original,1,0,0,467,18.42,9.42,1.03,
224,Pepperidge Farm Goldfish Baked Snack Crackers Parmesan,1,0,0,459,17.29,11.16,0.83,
225,Pepperidge Farm Goldfish Baked Snack Crackers Pizza,1,0,0,469,18.93,9.67,0.86,
226,Rudis Gluten-Free Bakery Original Sandwich Bread,1,0,0,320,10.7,3.13,8.36,
227,Udis Gluten Free Soft & Delicious White Sandwich Bread,1,0,0,298,8.02,5.4,11.3,
228,Udis Gluten Free Soft & Hearty Whole Grain Bread,1,0,0,309,9.34,7.25,9.81,
229,Udis Gluten Free Whole Grain Dinner Rolls,1,0,0,329,11.6,11.8,4.2,
230,Vans Gluten Free Totally Original Pancakes,1,0,0,215,4.55,3.31,4.06,
231,Potatoes Hash Brown Refrigerated Unprepared,1,0,0,84,0.08,1.75,0.91,
232,Potatoes Hash Brown Refrigerated Prepared Pan-Fried In Canola Oil,0,1,0,242,10.3,3.24,1.16,
233,Sweet Potatoes French Fried Frozen As Packaged Salt Added In Processing,0,1,0,182,8.92,2.16,12.9,
234,Moose Meat Raw (Alaska Native),0,1,0,103,1.5,22.3,0,
235,On The Border Soft Taco With Ground Beef Cheese And Lettuce,0,1,0,229,11.05,13.19,1.84,
236,Restaurant Mexican Soft Taco With Ground Beef Cheese And Lettuce,0,1,0,219,10.81,12.56,2.39,
237,Restaurant Latino Chicken And Rice Entree Prepared,0,1,0,174,5.06,12.02,0.55,
238,Restaurant Latino Empanadas Beef Prepared,0,1,0,335,18.37,11.31,1.84,
239,Restaurant Latino Pupusas Con Frijoles (Pupusas Bean),0,1,0,229,9.01,5.59,1.3,
240,Restaurant Latino Pupusas Con Queso (Pupusas Cheese),0,1,0,256,13.25,11.72,1.2,
241,Restaurant Latino Pupusas Del Cerdo (Pupusas Pork),0,1,0,232,10.43,11.51,1.45,
242,Restaurant Latino Tamale Corn,0,1,0,186,7.21,3.48,7.42,
243,Restaurant Mexican Spanish Rice,0,1,0,185,5.29,3.28,1.3,
244,Restaurant Mexican Refried Beans,0,1,0,156,6.77,6.91,0.78,
245,Restaurant Chinese Fried Rice Without Meat,0,1,0,174,2.96,4.05,0.56,
246,Cracker Barrel Steak Fries,0,1,0,255,13.18,3.26,0.86,
247,Cracker Barrel Macaroni N Cheese Plate From Kids Menu,0,1,0,192,11.51,6.46,2.83,
248,Dennys French Fries,0,1,0,282,14.13,3.41,0.85,
249,Restaurant Chinese Lemon Chicken,0,1,0,252,13.55,11.87,8.18,
250,Restaurant Chinese General Tsos Chicken,0,1,0,295,16.36,12.9,11.6,
251,Restaurant Chinese Kung Pao Chicken,0,1,0,129,6.98,9.76,3.03,
252,Restaurant Chinese Vegetable Lo Mein Without Meat,0,1,0,121,2.35,4.77,2.63,
253,Restaurant Chinese Chicken And Vegetables,0,1,0,95,4.56,8.18,2.93,
254,Restaurant Chinese Orange Chicken,0,1,0,262,12.68,14.46,13.6,
255,Restaurant Italian Spaghetti With Meat Sauce,0,1,0,121,3.59,5.79,1.82,
256,Fruit-Flavored Drink Dry Powdered Mix Low Calorie With Aspartame,0,1,0,218,0.04,0.45,0,
257,Pectin Liquid,0,1,0,11,0,0,0,
258,Frozen Novelties Ice Cream Type Vanilla Ice Cream Light No Sugar Added Chocolate Coated,1,0,0,221,10.1,6.4,8.52,
259,Creamy Dressing Made With Sour Cream And/or Buttermilk And Oil Reduced Calorie,1,0,0,160,14,1.5,5.65,
260,Milk Dessert Frozen Milk-Fat Free Chocolate,1,0,0,167,1,4.3,37.7,
261,Whipped Topping Frozen Low Fat,1,0,0,224,13.1,3,23.6,
262,Cream Substitute Powdered Light,1,0,0,431,15.7,1.9,73.4,
263,Mars Snackfood Us M&Ms Peanut Butter Chocolate,1,0,0,529,29.32,10.16,47.15,
264,Babyfood Apple Yogurt Dessert Strained,1,0,0,93,1.6,0.8,12.02,
265,Vegetable Oil-Butter Spread Reduced Calorie,1,0,0,465,53,0,0,
266,Salad Dressing Blue Or Roquefort Cheese Dressing Light,1,0,0,86,2.7,2.1,3.6,
267,Salad Dressing French Dressing Reduced Calorie,1,0,0,227,13,0.4,25.92,
268,Mayonnaise Made With Tofu,1,0,0,322,31.79,5.95,0.85,
269,Frankfurter Beef Low Fat,0,1,0,140,9.5,12,0.85,
270,Milk Buttermilk Fluid Cultured Reduced Fat,0,1,0,56,2,4.1,5.3,
271,Salad Dressing Blue Or Roquefort Cheese Dressing Fat-Free,0,1,0,115,1.01,1.52,7.44,
272,Salad Dressing Mayonnaise-Like Fat-Free,0,1,0,84,2.7,0.2,10.3,
273,Mars Snackfood Us Milky Way Midnight Bar,0,1,0,443,17.5,3.2,57.81,
274,Flaxseed Oil,0,1,0,884,99.98,0.11,0,
275,Cheese Cottage Lowfat 1% Milkfat Lactose Reduced,0,1,0,74,1,12.4,2.6,
276,Salad Dressing Bacon And Tomato,0,1,0,326,35,1.8,2,
277,Grated Parmesan Cheese (Low-Sodium),0,1,0,451,29.99,41.6,0.85,
278,Jams Preserves Marmalade Reduced Sugar,0,1,0,151,0.1,0,29.41,
279,Fruit-Flavored Drink Powder With High Vitamin C With Other Added Vitamins Low Calorie,0,1,0,227,0.16,0.25,0,
280,Tomato And Vegetable Juice Low Sodium,0,1,0,22,0.1,0.6,3.28,
281,Chocolate-Flavored Drink Whey And Milk Based,1,0,0,49,0.4,0.64,8.68,
282,Hearts Of Palm Raw,1,0,0,115,0.2,2.7,17.16,
283,Post Shredded Wheat N Bran Spoon-Size,1,0,0,339,2.06,10.93,0.75,
284,Cheese Cottage Lowfat 1% Milkfat With Vegetables,1,0,0,67,1,10.9,3,
285,Yeast Extract Spread,1,0,0,185,0.9,23.88,1.6,
286,Babyfood Juice Pear,1,0,0,43,0,0,7.28,
287,Chicken Meatless Breaded Fried,1,0,0,234,12.77,21.28,0,
288,Frozen Novelties Juice Type Juice With Cream,1,0,0,115,1.41,1.41,20.61,
289,Tofu Yogurt,1,0,0,94,1.8,3.5,1.24,
